CustomerID,Recency,Recency Score,Frequency,Frequency Score,Monetary,Monetary Score,RFM,Customer Segment
14651,31,2,4,2,1588.5682,2,222,Almost Lost
20645,31,2,4,2,1143.46,2,222,Almost Lost
23181,31,2,4,2,588.96,2,222,Almost Lost
24077,31,2,4,2,588.96,2,222,Almost Lost
12424,31,2,4,2,99.47,2,222,Almost Lost
17150,31,2,4,2,1764.96,2,222,Almost Lost
22308,31,2,4,2,1768.96,2,222,Almost Lost
21372,31,2,4,2,74.96,2,222,Almost Lost
18086,31,2,4,2,1723.96,2,222,Almost Lost
14691,31,2,3,2,89.97,2,222,Almost Lost
14001,31,2,3,2,106.96,2,222,Almost Lost
20187,31,2,3,2,1179.97,2,222,Almost Lost
14233,31,2,3,2,78.97,2,222,Almost Lost
18040,31,2,3,2,193.98,2,222,Almost Lost
21847,31,2,3,2,187.98,2,222,Almost Lost
24011,31,2,3,2,1179.47,2,222,Almost Lost
25869,31,2,3,2,79.97,2,222,Almost Lost
24701,31,2,3,2,1744.97,2,222,Almost Lost
18083,31,2,3,2,89.97,2,222,Almost Lost
23015,31,2,3,2,563.77,2,222,Almost Lost
20436,31,2,3,2,1134.47,2,222,Almost Lost
20310,31,2,3,2,1149.47,2,222,Almost Lost
26035,31,2,3,2,88.98,2,222,Almost Lost
21541,31,2,3,2,149.98,2,222,Almost Lost
17668,31,2,3,2,553.97,2,222,Almost Lost
19248,31,2,3,2,147.28,2,222,Almost Lost
24767,31,2,3,2,86.58,2,222,Almost Lost
17290,31,2,3,2,92.97,2,222,Almost Lost
20207,31,2,3,2,1134.47,2,222,Almost Lost
20974,31,2,3,2,126.28,2,222,Almost Lost
27326,31,2,3,2,83.97,2,222,Almost Lost
24017,31,2,3,2,553.97,2,222,Almost Lost
25614,31,2,3,2,1228.83,2,222,Almost Lost
13589,31,2,3,2,78.48,2,222,Almost Lost
18873,31,2,3,2,128.97,2,222,Almost Lost
16457,31,2,3,2,149.98,2,222,Almost Lost
21853,31,2,3,2,89.97,2,222,Almost Lost
24721,31,2,3,2,89.97,2,222,Almost Lost
